Raw Company	Cleaned Company
Decathlon Deutschland	Decathlon
Volkswagen Of America Inc	Volkswagen
Auchan Retail	Auchan
Allianz Direct	Allianz
Groupe ADP	ADP
Cdiscount	Cdiscount
MediaMarkt	MediaMarkt
Austrian Airlines	Austrian Airlines
Mercuria	Mercuria
BMP Paribas	BMP Paribas
Center Parcs UK & Ireland	Center Parcs
Printemps	Printemps
Castorama	Castorama
Lufthansa Innovation Hub	Lufthansa
Vinted	Vinted
ITV plc	ITV
CaixaBank Payments & Consumer	CaixaBank
La Banque Postale	La Banque Postale
Elkjop Nordic AS	Elkjop
Center Parcs	Center Parcs
LEROY MERLIN Italy	Leroy Merlin
Vitality	Vitality
EDF Trading	EDF
Maisons Du Monde SA	Maisons Du Monde
DECATHLON SWITZERLAND	Decathlon
MAPFRE Insurance Company Inc.	Mapfre
Monoprix	Monoprix
AXA Bank	AXA Bank
AXA	AXA
BMW	BMW
Conforama france	Conforama
Porsche AG	Porsche
Mobile.de	Mobile.de
ALDI Nord	ALDI
Admiral Group Plc	Admiral
CTS Eventim AG & Co. KGaA	CTS Eventim
Harbour Energy plc	Harbour Energy
Lufthansa Aviation Training GmbH	Lufthansa
British American Tobacco	BAT
Collect.AI	Collect.AI
Kion Group AG	Kion
STRABAG Aircraft Services GmbH	Strabag
UniCredit Leasing Finance GmbH	UniCredit
Wintershall Dea	Wintershall Dea
BAWAG Group AG	Bawag
DNV	DNV
Turkish Airlines	Turkish Airlines
SPIE Energy Solutions GmbH	SPIE Energy
AECOM	Aecom
Alfa Laval Corporate AB	Alfa Laval
AERIUS Marine	Aerius
Reos GmbH	Reos
Raymond James Financial Inc.	Raymond James
Jump 450	Jump 450
PLATZ	PLATZ
Webster Financial Corporation	Webster
The Charles Schwab Corporation	Charles Schwab
Canon Inc.	Canon
Annalect India	Annalect India
Omnicom Media Group	Omnicom
LTIMindtree	LTIMindtree
Voya Financial Inc.	Voya
Ricoh Company Ltd.	Ricoh
Arthur J. Gallagher & Co.	Gallagher
Mitsui Chemicals America Inc.	Mitsui
United Airlines	United Airlines
Ecopromosonline	Ecopromosonline
Franklin Resources Inc.	Franklin
Avid Solutions	Avid
Daily Harvest	Daily Harvest
General Assembly	General Assembly
Citizens Financial Group Inc.	Citizens
TravelClick	TravelClick
Empower	Empower
PNC Financial Services Group Inc.	PNC
Intent HQ | AI Company Of The Year	Intent
Sparks & Honey	Sparks & Honey
Hearts & Science	Hearts & Science
Voya Investment Management	Voya
Hartford Financial Services Group Inc.	Hartford
Lincoln Financial Group	Lincoln
IptiQ By Swiss Re	IptiQ
Sumitomo Corporation Of Americas	Sumitomo
Analog Devices Inc.	Analog Devices
Amadeus IT Group SA	Amadeus
AdvisorEngine	AdvisorEngine
Neuberger Berman	Neuberger Berman
Royce Investment Partners	Royce
Initiative	Initiative
PayCargo	PayCargo
Hartree Partners	Hartree Partners
Oaktree Capital Management L.P.	Oaktree
The Campbell's Company	Campbell's
Jetblue	Jetblue
Givaudan	Givaudan
Evonik	Evonik
Asml	Asml
Pepsico	Pepsico
SGS	SGS
Microchip Technology	Microchip Technology
Interactive Brokers	Interactive Brokers
RPM	RPM
Foot Locker	Foot Locker
Stonex	Stonex
Burlington Stores	Burlington Stores
Mccormick & Company	McCormick
Lonza	Lonza
Constellation	Constellation
Crown Castle	Crown Castle
Adyen	Adyen
Custommade	Custommade
Stonhard	Stonhard
Prudential Financial	Prudential
Simon Property	Simon Property
Tremco CPG	Tremco
UCB	UCB
Sartorius	Sartorius
Rust-Oleum	Rust-Oleum
Kerry	Kerry
Conagra Brands	Conagra Brands
Ferguson	Ferguson
Onlife Health	Onlife Health
Sonova	Sonova
Wayfair	Wayfair
Elliott Investment Management L	Elliott
TDK	TDK
Ares Management	Ares Management
Prysmian	Prysmian
AIR France-Klm	AIR France
UGI	UGI
Hydro One	Hydro One
The Hershey Company	Hershey
Bath & Body Works	Bath & Body Works
Howmet Aerospace	Howmet
Amcor	Amcor
The Andersons	The Andersons
Berry Global	Berry Global
Sika	Sika
Costco Wholesale	Costco
Barry Callebaut	Barry Callebaut
Sandvik	Sandvik
EPL	EPL
Olam	Olam
Welltower	Welltower
3I	3I
Virgin America	Virgin America
SLB	SLB
Halperns'​ Steak & Seafood	Halperns'​ Steak & Seafood
Meijer	Meijer
Carmax	Carmax
Autozone	Autozone
Veronica Studio + Production	Veronica Studio + Production
Wood	Wood
Ferrovial	Ferrovial
Vici Properties	Vici Properties
Waste Connections	Waste Connections
American Airlines	American Airlines
Spirit Airlines	Spirit Airlines
Coloplast	Coloplast
First Horizon Bank	First Horizon
Banc of California	Banc of California
Unidine	Unidine
The Urban Assembly	The Urban Assembly
Farmingdale State College	Farmingdale State College
Engine	Engine
Velour Medical	Velour Medical
Leonard A	Leonard
RC Willey	RC Willey
Rinnovo Solutions	Rinnovo
See's Candies	See's Candies
Shopify	Shopify
SJSU Peer Connections	SJSU
The Home Depot	Home Depot
The TJX Companies, Inc.	TJX
The Visionry	The Visionry
Ulta Beauty	Ulta Beauty
Verizon	Verizon
VMware	Vmware
Walmart Global Tech	Walmart Tech
Williams-Sonoma, Inc.	Williams-Sonoma
AAR	AAR
Amcor plc	Amcor
AmeriGas	Amerigas
Bank Hapoalim	Bank Hapoalim
Bank Of China	Bank Of China
Bath & Body Works Inc.	Bath & Body Works
Bpi group	BPI
Burlington Stores Inc.	Burlington Stores
Campbell Soup Company	Campbell Soup
Carmax Inc.	Carmax
CB4	CB4
Constellation Energy Corporation	Constellation
COSCO SHIPPING	Cosco
Cox Automotive Inc.	Cox
Crown Castle Inc.	Crown Castle
Dollar General Corporation	Dollar General
EQT Corporation	EQT
Ferguson Plc	Ferguson
First Horizon Corporation	First Horizon
Glencore International	Glencore
Howmet Aerospace Inc.	Howmet Aerospace
ICBC	ICBC
Int.	INT
Interactive Brokers Group	Interactive Brokers
J.B. Hunt Transport Services Inc.	JB Hunt
JetBlue Airways Corporation	Jetblue
Kubota Corporation	Kubota
Molloy University	Molloy University
Prudential PLC	Prudential
Rustoleum Corporation	Rustoleum
Sartorius AG	Sartorius
Schlumberger	Schlumberger
SGS SA	SGS
SKDK	SKDK
Sonova Holding AG	Sonova
Spirit Airlines Inc.	Spirit Airlines
StoneX Group Inc.	Stonex
UCB S.A.	UCB
Wayfair Inc.	Wayfair
Allstate	Allstate
Ally Financial Inc.	Ally Financial
American International Group Inc.	AIG
Amkor Technology Inc.	Amkor
Apple Inc.	Apple
Ashley Furniture Industries	Ashley Furniture
Assurant Inc.	Assurant
AssuredPartners	AssuredPartners
Asurion	Asurion
AT&T Inc.	AT&T
Automatic Data Processing Inc.	ADP
BAE Systems	BAE
Battelle	Battelle
